local,filename,path,falha,tamanho
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.17
22F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.76
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.94
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,5.18
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.21
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.1
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.93
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.18
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.17
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.8
23C,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.28
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.54
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.55
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.89
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.52
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.64
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.56
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.5
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.07
23E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.61
24D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,11.2
24D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.49
24D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.71
24F,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.69
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.87
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.64
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.36
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.84
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.8
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.84
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.42
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.7
2A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.33
